ID,Battle ID,Battle Type,Battle Type ID,Battle Name,Game platform,Missions,Release date,Last updated,Creator(s),Average rating,Reviews,Bug reports,Times completed,Patches used,Patch IDs,Battle URL,Download Link,Folder Location,Filename,Path
1263,XvT-CD 1,XvT-CD,1,CDNG,X-Wing vs. TIE Fighter,9,12/25/2005,2/22/2009,HA Ender mBind,2.3,8,0,26,EH Ship Patch for XvT | TIE Advanced x1 | Enforcer Picket Ship,8|91|31,https://tc.emperorshammer.org/download.php?id=1263&type=info,https://tc.emperorshammer.org/downloads/battles/XvT/CD/XvTCD1.zip,C:\Users\kevin\Documents\Projects\EH\XvTCD1,CDNGXVT4.TIE,C:\Users\kevin\Documents\Projects\EH\XvTCD1\CDNGXVT4.TIE
1263,XvT-CD 1,XvT-CD,1,CDNG,X-Wing vs. TIE Fighter,9,12/25/2005,2/22/2009,HA Ender mBind,2.3,8,0,26,EH Ship Patch for XvT | TIE Advanced x1 | Enforcer Picket Ship,8|91|31,https://tc.emperorshammer.org/download.php?id=1263&type=info,https://tc.emperorshammer.org/downloads/battles/XvT/CD/XvTCD1.zip,C:\Users\kevin\Documents\Projects\EH\XvTCD1,CDNGXVT5.TIE,C:\Users\kevin\Documents\Projects\EH\XvTCD1\CDNGXVT5.TIE
1263,XvT-CD 1,XvT-CD,1,CDNG,X-Wing vs. TIE Fighter,9,12/25/2005,2/22/2009,HA Ender mBind,2.3,8,0,26,EH Ship Patch for XvT | TIE Advanced x1 | Enforcer Picket Ship,8|91|31,https://tc.emperorshammer.org/download.php?id=1263&type=info,https://tc.emperorshammer.org/downloads/battles/XvT/CD/XvTCD1.zip,C:\Users\kevin\Documents\Projects\EH\XvTCD1,CDNGXVT6.TIE,C:\Users\kevin\Documents\Projects\EH\XvTCD1\CDNGXVT6.TIE
1263,XvT-CD 1,XvT-CD,1,CDNG,X-Wing vs. TIE Fighter,9,12/25/2005,2/22/2009,HA Ender mBind,2.3,8,0,26,EH Ship Patch for XvT | TIE Advanced x1 | Enforcer Picket Ship,8|91|31,https://tc.emperorshammer.org/download.php?id=1263&type=info,https://tc.emperorshammer.org/downloads/battles/XvT/CD/XvTCD1.zip,C:\Users\kevin\Documents\Projects\EH\XvTCD1,CDNGXVT7.TIE,C:\Users\kevin\Documents\Projects\EH\XvTCD1\CDNGXVT7.TIE
1263,XvT-CD 1,XvT-CD,1,CDNG,X-Wing vs. TIE Fighter,9,12/25/2005,2/22/2009,HA Ender mBind,2.3,8,0,26,EH Ship Patch for XvT | TIE Advanced x1 | Enforcer Picket Ship,8|91|31,https://tc.emperorshammer.org/download.php?id=1263&type=info,https://tc.emperorshammer.org/downloads/battles/XvT/CD/XvTCD1.zip,C:\Users\kevin\Documents\Projects\EH\XvTCD1,CDNGXVT8.TIE,C:\Users\kevin\Documents\Projects\EH\XvTCD1\CDNGXVT8.TIE
1263,XvT-CD 1,XvT-CD,1,CDNG,X-Wing vs. TIE Fighter,9,12/25/2005,2/22/2009,HA Ender mBind,2.3,8,0,26,EH Ship Patch for XvT | TIE Advanced x1 | Enforcer Picket Ship,8|91|31,https://tc.emperorshammer.org/download.php?id=1263&type=info,https://tc.emperorshammer.org/downloads/battles/XvT/CD/XvTCD1.zip,C:\Users\kevin\Documents\Projects\EH\XvTCD1,CDNGXVT9.TIE,C:\Users\kevin\Documents\Projects\EH\XvTCD1\CDNGXVT9.TIE
1264,XWA-F 131,XWA-F,131,The Akmuvah's Conversion,X-Wing Alliance,1,1/14/2006,1/14/2006,COL Mouse Droid,Unrated,0,1,25,None,,https://tc.emperorshammer.org/download.php?id=1264&type=info,https://tc.emperorshammer.org/downloads/battles/XWA/free/XWAF131.zip,C:\Users\kevin\Documents\Projects\EH\XWAF131,1b8m1akm.tie,C:\Users\kevin\Documents\Projects\EH\XWAF131\1b8m1akm.tie
1266,TIE-F 260,TIE-F,260,A Station Too Far,TIE Fighter,1,1/25/2006,1/25/2006,HA Frodo March,3.6,9,0,77,None,,https://tc.emperorshammer.org/download.php?id=1266&type=info,https://tc.emperorshammer.org/downloads/battles/TIE/free/TIEF260.zip,C:\Users\kevin\Documents\Projects\EH\TIEF260,comm1.tie,C:\Users\kevin\Documents\Projects\EH\TIEF260\comm1.tie
1267,XvT-F 206,XvT-F,206,A Station Too Far,X-Wing vs. TIE Fighter,1,1/25/2006,2/22/2009,HA Frodo March,2.4,5,2,30,EH Ship Patch for XvT,8,https://tc.emperorshammer.org/download.php?id=1267&type=info,https://tc.emperorshammer.org/downloads/battles/XvT/free/XvTF206.zip,C:\Users\kevin\Documents\Projects\EH\XvTF206,comm.tie,C:\Users\kevin\Documents\Projects\EH\XvTF206\comm.tie
1268,XWA-F 132,XWA-F,132,A Station Too Far,X-Wing Alliance,1,1/25/2006,1/25/2006,HA Frodo March,4,1,1,50,None,,https://tc.emperorshammer.org/download.php?id=1268&type=info,https://tc.emperorshammer.org/downloads/battles/XWA/free/XWAF132.zip,C:\Users\kevin\Documents\Projects\EH\XWAF132,1b8m1comm.tie,C:\Users\kevin\Documents\Projects\EH\XWAF132\1b8m1comm.tie
1269,XvT-F 207,XvT-F,207,Cyclone Squadron Chronicles - Convoy Escort,X-Wing vs. TIE Fighter,1,2/22/2006,2/22/2009,FA Marcin Szydlowski,3.2,5,0,45,EH Ship Patch for XvT,8,https://tc.emperorshammer.org/download.php?id=1269&type=info,https://tc.emperorshammer.org/downloads/battles/XvT/free/XvTF207.zip,C:\Users\kevin\Documents\Projects\EH\XvTF207,mission1.tie,C:\Users\kevin\Documents\Projects\EH\XvTF207\mission1.tie
1271,XvT-F 208,XvT-F,208,Cyclone Squadron Chronicles - Attack on MN-18,X-Wing vs. TIE Fighter,1,2/25/2006,2/22/2009,FA Marcin Szydlowski,2.5,4,0,31,EH Ship Patch for XvT,8,https://tc.emperorshammer.org/download.php?id=1271&type=info,https://tc.emperorshammer.org/downloads/battles/XvT/free/XvTF208.zip,C:\Users\kevin\Documents\Projects\EH\XvTF208,mission1.tie,C:\Users\kevin\Documents\Projects\EH\XvTF208\mission1.tie
1272,XvT-TC 120,XvT-TC,120,Wing X - Thunder,X-Wing vs. TIE Fighter,4,3/19/2006,2/22/2009,LT Kate Flyer,3.8,6,4,48,EH Ship Patch for XvT,8,https://tc.emperorshammer.org/download.php?id=1272&type=info,https://tc.emperorshammer.org/downloads/battles/XvT/TC/XvTTC120.zip,C:\Users\kevin\Documents\Projects\EH\XvTTC120,Thunder1.tie,C:\Users\kevin\Documents\Projects\EH\XvTTC120\Thunder1.tie
1272,XvT-TC 120,XvT-TC,120,Wing X - Thunder,X-Wing vs. TIE Fighter,4,3/19/2006,2/22/2009,LT Kate Flyer,3.8,6,4,48,EH Ship Patch for XvT,8,https://tc.emperorshammer.org/download.php?id=1272&type=info,https://tc.emperorshammer.org/downloads/battles/XvT/TC/XvTTC120.zip,C:\Users\kevin\Documents\Projects\EH\XvTTC120,Thunder2.tie,C:\Users\kevin\Documents\Projects\EH\XvTTC120\Thunder2.tie
