ID,Name,Uses Slot,Prerequisite ID,Platform,Type,Fleet Manual,Creator,3D Artist,2D Artist,Date released,Date updated,Number of craft,Custom cockpit,# Reviews,# Bugs,# Usages
398,TIE Raptor,205,n/a,X-Wing Alliance,Fighter,Fleet Manual #105,HA Ender mBind,HA Ender mBind,HA Ender mBind,4/22/2004,11/9/2013,1,No,0,0,1
399,TIE Scimitar Assault Bomber Mk.III,193,n/a,X-Wing Alliance,Fighter,Fleet Manual #135,HA Ender mBind,unknown,unknown,7/6/2000,11/9/2013,1,No,0,0,1
400,TIE Vanguard,194,n/a,X-Wing Alliance,Fighter,Fleet Manual #10,COL Den Darkhill,HA Ender mBind,HA Ender mBind,1/3/2002,10/31/2012,1,No,0,0,0
401,TIE Advanced x1 ,204,n/a,X-Wing Alliance,Fighter,Fleet Manual #127,HA Ender mBind,HA Ender mBind,HA Ender mBind,10/19/2003,11/7/2013,1,No,0,0,1
402,TIE Sentinel/V38,215,n/a,X-Wing Alliance,Fighter,,HA Ender mBind,HA Ender mBind,HA Ender mBind,4/9/2004,11/7/2013,1,No,0,0,1
403,V-Wing Mk.II,209,n/a,X-Wing Alliance,Fighter,Fleet Manual #159,HA Ender mBind,HA Ender mBind,HA Ender mBind,9/29/2004,11/9/2013,1,No,0,0,1
404,E-Wing (CD),n/a,n/a,X-Wing,Fighter,Fleet Manual #140,Dogger,Mutt,Mutt,9/19/1994,11/8/2013,1,No,0,0,1
405,K-Wing (CD),n/a,n/a,X-Wing,Fighter,,Dogger,Dogger,Dogger,9/19/1994,10/31/2013,1,No,0,0,0
406,S-Foils Patch,n/a,n/a,X-Wing Alliance,General,,COL Den Darkhill,N/A,N/A,12/8/2000,3/9/2016,0,No,1,2,0
407,High Resolution fonts for NVIDIA,n/a,n/a,X-Wing Alliance,General,,Harrier Brayer,N/A,N/A,11/30/2004,11/1/2012,0,No,0,0,0
408,X-Wing '95 Compatibility Fix,n/a,n/a,X-Wing,General,,Cwagle The Jedi,,,7/26/2004,11/1/2012,0,No,0,0,0
409,XWAHacker (disappearing objects),n/a,n/a,X-Wing Alliance,General,,Reimar Döffinger,N/A,N/A,11/6/2011,11/1/2012,0,No,0,0,0
410,Emperor's Hammer Crest,n/a,n/a,X-Wing Alliance,General,,COL Kermee,N/A,LC Tempest,1/1/2001,11/2/2012,0,No,1,0,16
411,Melee patch for XvT (multiplayer),n/a,n/a,X-Wing vs. TIE Fighter,General,,unknown,N/A,N/A,9/11/2008,4/27/2014,0,No,0,0,0
